guide_id,expertise_tags,personality_vector,language_pairs,pace_style,group_size_preferred,budget_tier,location_coverage,availability,rating_history,rating_count,specialties,license_verified,license_number,license_type,license_country,license_expiry
GTH268,markets|food|food_heritage|shopping,0.543|0.703|0.727|0.595|0.136,en→th|ko→th,0.631,4,budget,TH:Old City|TH:Night Bazaar|TH:Mae Sa Valley|TH:Sankamphaeng,"{""1"": [""morning"", ""evening""], ""2"": [""morning"", ""afternoon"", ""evening""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""evening""], ""5"": [""afternoon"", ""morning""], ""6"": [""afternoon"", ""evening""], ""7"": [""evening""]}",4.17,154,markets|food|food_heritage|shopping,False,,community_host,TH,
GTH335,food_heritage|markets|photography|nature,0.201|0.449|0.196|0.940|0.285,en→th|th→th,0.784,5,premium,TH:Doi Inthanon|TH:Night Bazaar,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""morning"", ""evening""], ""3"": [""afternoon""], ""4"": [""afternoon""], ""5"": [""afternoon"", ""evening"", ""morning""], ""6"": [""evening"", ""morning""], ""7"": [""afternoon"", ""evening""]}",4.32,170,food_heritage|markets|photography|nature,False,,licensed,TH,
GTH761,culture|beach,0.197|0.100|0.128|0.145|0.110,en→th|zh→th,0.347,1,mid,TH:Doi Pui|TH:Mae Sa Valley|TH:Doi Inthanon|TH:Doi Suthep,"{""1"": [""afternoon""], ""2"": [""afternoon"", ""morning"", ""evening""], ""3"": [""evening"", ""morning""], ""4"": [""morning"", ""evening""], ""5"": [""morning"", ""afternoon""], ""6"": [""morning"", ""evening""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.31,185,culture|beach,False,,licensed,TH,
GTH113,river|gardens,0.725|0.346|0.120|0.607|0.157,en→th|ru→th,0.723,4,budget,TH:Doi Pui|TH:Old City|TH:Sankamphaeng|TH:Nimman,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""morning"", ""afternoon""], ""4"": [""morning""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.42,93,river|gardens,False,,verified_expert,TH,
GTH455,beach|cooking,0.511|0.525|0.248|0.693|0.434,en→th|ru→th,0.596,3,mid,TH:Doi Pui|TH:Doi Suthep|TH:Doi Inthanon,"{""1"": [""morning"", ""afternoon""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""morning"", ""afternoon""], ""4"": [""afternoon""], ""5"": [""evening"", ""afternoon""], ""6"": [""evening"", ""morning""], ""7"": [""afternoon""]}",3.21,160,beach|cooking,False,,verified_expert,TH,
GTH104,beach|wellness,0.586|0.849|0.243|0.819|0.226,en→th|en→th,0.835,4,premium,TH:Doi Suthep|TH:Doi Pui|TH:Nimman|TH:Old City,"{""1"": [""evening"", ""morning""], ""2"": [""morning"", ""afternoon"", ""evening""], ""3"": [""afternoon""], ""4"": [""afternoon"", ""evening"", ""morning""], ""5"": [""evening""], ""6"": [""evening"", ""afternoon""], ""7"": [""morning"", ""evening"", ""afternoon""]}",4.16,39,beach|wellness,True,,community_host,TH,
GTH223,photography|food|food_heritage|trekking,0.546|0.924|0.725|0.376|0.780,en→th|en→th,0.373,4,premium,TH:Nimman,"{""1"": [""morning""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""morning"", ""afternoon""], ""4"": [""evening"", ""afternoon""], ""5"": [""evening""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""morning"", ""afternoon""]}",3.6,122,photography|food|food_heritage|trekking,True,,licensed,TH,
GTH188,beach|gardens|history|architecture,0.979|0.550|0.416|0.330|0.526,en→th|en→th,0.818,2,mid,TH:Sankamphaeng|TH:Old City|TH:Nimman,"{""1"": [""afternoon"", ""morning""], ""2"": [""morning""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""evening"", ""afternoon""], ""5"": [""evening""], ""6"": [""morning"", ""afternoon""], ""7"": [""evening"", ""afternoon""]}",4.49,55,beach|gardens|history|architecture,False,,verified_expert,TH,
GTH400,rural|trekking|food|temples,0.634|0.708|0.125|0.556|0.162,en→th|th→th,0.263,5,premium,TH:Old City|TH:Night Bazaar|TH:Doi Inthanon|TH:Sankamphaeng,"{""1"": [""morning""], ""2"": [""evening"", ""afternoon""], ""3"": [""morning"", ""evening""], ""4"": [""morning""], ""5"": [""afternoon"", ""morning""], ""6"": [""afternoon""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.51,87,rural|trekking|food|temples,False,,licensed,TH,
GTH810,gardens|architecture|art|river,0.828|0.953|0.204|0.248|0.219,en→th|en→th,0.981,1,mid,TH:Mae Sa Valley|TH:Doi Pui|TH:Sankamphaeng|TH:Nimman,"{""1"": [""evening"", ""morning""], ""2"": [""afternoon"", ""morning""], ""3"": [""afternoon"", ""evening""], ""4"": [""morning""], ""5"": [""afternoon""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""morning"", ""evening"", ""afternoon""]}",4.29,6,gardens|architecture|art|river,False,,community_host,TH,
