guide_id,expertise_tags,personality_vector,language_pairs,pace_style,group_size_preferred,budget_tier,location_coverage,availability,rating_history,rating_count,specialties
G450,shopping|rural,0.551|0.571|0.440|0.933|0.684,en→th|zh→th,0.884,8,budget,Doi Pui|Old City|Mae Sa Valley|Sankamphaeng,"{""1"": [""morning"", ""evening""], ""2"": [""afternoon""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""afternoon"", ""evening""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""morning"", ""afternoon"", ""evening""], ""7"": [""evening"", ""morning""]}",4.77,69,shopping|rural
G834,nightlife|rural|cooking|river,0.885|0.973|0.150|0.610|0.323,en→th|ko→th,0.33,3,premium,Nimman|Mae Sa Valley,"{""1"": [""morning""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""morning"", ""evening"", ""afternoon""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""morning""], ""6"": [""evening"", ""afternoon"", ""morning""], ""7"": [""evening""]}",4.02,200,nightlife|rural|cooking|river
G540,nature|markets,0.671|0.277|0.205|0.175|0.278,en→th|en→th,0.588,4,premium,Doi Inthanon|Sankamphaeng|Old City|Doi Pui,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""afternoon""], ""3"": [""evening"", ""afternoon""], ""4"": [""evening"", ""morning""], ""5"": [""evening"", ""afternoon""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""morning"", ""afternoon"", ""evening""]}",3.94,160,nature|markets
G450,history|markets|culture,0.539|0.387|0.977|0.523|0.247,en→th|zh→th,0.159,7,premium,Doi Suthep|Doi Pui|Nimman,"{""1"": [""morning""], ""2"": [""morning""], ""3"": [""evening"", ""afternoon""], ""4"": [""evening"", ""afternoon""], ""5"": [""evening""], ""6"": [""evening"", ""morning""], ""7"": [""evening"", ""morning"", ""afternoon""]}",3.67,40,history|markets|culture
G976,markets|photography,0.807|0.867|0.649|0.241|0.961,en→th|ja→th,0.983,7,premium,Nimman|Night Bazaar|Sankamphaeng,"{""1"": [""morning"", ""afternoon""], ""2"": [""evening"", ""afternoon""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""evening"", ""afternoon""], ""5"": [""morning"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""evening"", ""morning""]}",5.04,4,markets|photography
G264,trekking|river|wellness|cooking,0.330|0.849|0.121|0.485|0.444,en→th|ja→th,0.602,4,budget,Doi Inthanon|Old City|Doi Pui|Doi Suthep,"{""1"": [""afternoon"", ""evening"", ""morning""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""evening"", ""afternoon""], ""4"": [""morning""], ""5"": [""evening""], ""6"": [""afternoon"", ""evening""], ""7"": [""afternoon"", ""morning""]}",4.07,120,trekking|river|wellness|cooking
G351,river|cooking,0.167|0.979|0.759|0.842|0.887,en→th|ja→th,0.631,4,premium,Sankamphaeng,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""evening"", ""morning""], ""5"": [""afternoon""], ""6"": [""morning"", ""afternoon""], ""7"": [""afternoon"", ""morning""]}",3.86,65,river|cooking
G603,cooking|food|culture|history,0.678|0.485|0.825|0.818|0.849,en→th|ja→th,0.154,6,budget,Old City|Doi Inthanon|Night Bazaar|Doi Pui,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""evening""], ""5"": [""afternoon"", ""evening""], ""6"": [""evening"", ""morning""], ""7"": [""afternoon"", ""morning"", ""evening""]}",3.5,165,cooking|food|culture|history
G430,nature|art|nightlife|cooking,0.766|0.954|0.900|0.461|0.364,en→th|ko→th,0.661,7,budget,Nimman,"{""1"": [""afternoon""], ""2"": [""evening""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""morning""], ""6"": [""morning"", ""evening""], ""7"": [""evening""]}",3.43,199,nature|art|nightlife|cooking
G463,nightlife|nature,0.959|0.395|0.384|0.307|0.288,en→th|en→th,0.373,7,mid,Nimman|Doi Pui,"{""1"": [""afternoon""], ""2"": [""afternoon""], ""3"": [""afternoon""], ""4"": [""evening"", ""morning"", ""afternoon""], ""5"": [""afternoon""], ""6"": [""afternoon"", ""morning""], ""7"": [""afternoon""]}",3.62,151,nightlife|nature
